Currency,Rate,Date
PGK,4.3901,"Sat, 04 Jul 2026 00:00:02 +0000"
PHP,61.508,"Sat, 04 Jul 2026 00:00:02 +0000"
PKR,278.0612,"Sat, 04 Jul 2026 00:00:02 +0000"
PLN,3.7458,"Sat, 04 Jul 2026 00:00:02 +0000"
PYG,6063.7518,"Sat, 04 Jul 2026 00:00:02 +0000"
QAR,3.64,"Sat, 04 Jul 2026 00:00:02 +0000"
RON,4.5735,"Sat, 04 Jul 2026 00:00:02 +0000"
RSD,102.6277,"Sat, 04 Jul 2026 00:00:02 +0000"
RUB,77.4202,"Sat, 04 Jul 2026 00:00:02 +0000"
RWF,1469.5235,"Sat, 04 Jul 2026 00:00:02 +0000"
SAR,3.75,"Sat, 04 Jul 2026 00:00:02 +0000"
SBD,7.9934,"Sat, 04 Jul 2026 00:00:02 +0000"
SCR,14.6655,"Sat, 04 Jul 2026 00:00:02 +0000"
SDG,510.5653,"Sat, 04 Jul 2026 00:00:02 +0000"
SEK,9.6482,"Sat, 04 Jul 2026 00:00:02 +0000"
SGD,1.2914,"Sat, 04 Jul 2026 00:00:02 +0000"
SHP,0.749,"Sat, 04 Jul 2026 00:00:02 +0000"
SLE,24.3551,"Sat, 04 Jul 2026 00:00:02 +0000"
SLL,24355.0501,"Sat, 04 Jul 2026 00:00:02 +0000"
SOS,571.4201,"Sat, 04 Jul 2026 00:00:02 +0000"
SRD,37.632,"Sat, 04 Jul 2026 00:00:02 +0000"
SSP,4710.4334,"Sat, 04 Jul 2026 00:00:02 +0000"
STN,21.4191,"Sat, 04 Jul 2026 00:00:02 +0000"
SYP,114.0,"Sat, 04 Jul 2026 00:00:02 +0000"
SZL,16.2226,"Sat, 04 Jul 2026 00:00:02 +0000"
THB,33.1677,"Sat, 04 Jul 2026 00:00:02 +0000"
TJS,9.2648,"Sat, 04 Jul 2026 00:00:02 +0000"
TMT,3.5,"Sat, 04 Jul 2026 00:00:02 +0000"
TND,2.9443,"Sat, 04 Jul 2026 00:00:02 +0000"
TOP,2.3877,"Sat, 04 Jul 2026 00:00:02 +0000"
TRY,46.8137,"Sat, 04 Jul 2026 00:00:02 +0000"
TTD,6.757,"Sat, 04 Jul 2026 00:00:02 +0000"
TVD,1.4419,"Sat, 04 Jul 2026 00:00:02 +0000"
TWD,31.9628,"Sat, 04 Jul 2026 00:00:02 +0000"
TZS,2621.8007,"Sat, 04 Jul 2026 00:00:02 +0000"
UAH,44.6762,"Sat, 04 Jul 2026 00:00:02 +0000"
UGX,3635.4814,"Sat, 04 Jul 2026 00:00:02 +0000"
UYU,40.1787,"Sat, 04 Jul 2026 00:00:02 +0000"
UZS,11949.9885,"Sat, 04 Jul 2026 00:00:02 +0000"
VES,667.05,"Sat, 04 Jul 2026 00:00:02 +0000"
VND,26244.1023,"Sat, 04 Jul 2026 00:00:02 +0000"
VUV,120.3086,"Sat, 04 Jul 2026 00:00:02 +0000"
WST,2.7397,"Sat, 04 Jul 2026 00:00:02 +0000"
XAF,573.4707,"Sat, 04 Jul 2026 00:00:02 +0000"
XCD,2.7,"Sat, 04 Jul 2026 00:00:02 +0000"
XCG,1.79,"Sat, 04 Jul 2026 00:00:02 +0000"
XDR,0.7345,"Sat, 04 Jul 2026 00:00:02 +0000"
XOF,573.4707,"Sat, 04 Jul 2026 00:00:02 +0000"
XPF,104.3261,"Sat, 04 Jul 2026 00:00:02 +0000"
YER,238.6004,"Sat, 04 Jul 2026 00:00:02 +0000"
ZAR,16.2226,"Sat, 04 Jul 2026 00:00:02 +0000"
ZMW,18.3469,"Sat, 04 Jul 2026 00:00:02 +0000"
ZWG,26.8147,"Sat, 04 Jul 2026 00:00:02 +0000"
ZWL,26.8147,"Sat, 04 Jul 2026 00:00:02 +0000"
